,Unnamed: 0,AREA (In thousand ha),YIELD (In kg/ha),Unnamed: 3,PRODUCTION (In thousand t)
0,REGION / STATE,11/12 Crop  12/13 Crop VAR. %,11/12 Crop  12/13 Crop,VAR. %,11/12 Crop  12/13 Crop VAR. %
1,,(a) (b) (b/a),(c) (d),(d/c),(e) (f) (f/e)
2,NORTH,"3 18,8 2 98,3 (6,4)","2 .972 3 .558,0","19,7","9 47,3 1 .061,3 12,0"
3,RR,"19,8 20,0 1,0","5.354 5 .452,0","1,8","106,0 109,0 2,8"
4,RO,"53,0 48,0 (9,4)","2.679 2 .800,0","4,5","142,0 134,4 (5,4)"
5,AC,"13,8 13,2 (4,3)","1.377 1 .420,0","3,1","19,0 18,7 (1,6)"
6,AM,"6,5 5,9 (9,0)","2.000 2 .050,0","2,5","13,0 12,1 (6,9)"
7,AP,"2,4 2,7 12,5","1.089 1 .112,0","2,1","2,6 3,0 15,4"
8,PA,"103,4 89,4 (13,5)","2.151 2 .443,0","13,6","222,4 218,4 (1,8)"
9,TO,"119,9 119,1 (0,7)","3.689 4 .750,0","28,8","442,3 565,7 27,9"
10,NORTHEAST,"5 96,7 5 86,9 (1,6)","1 .288 1 .523,0","18,2","7 69,0 8 93,8 16,2"
11,MA,"426,0 416,2 (2,3)","1.098 1 .520,0","38,4","467,7 632,6 35,3"
12,PI,"117,4 125,1 6,6","1.171 7 95,0","(32,1)","137,5 99,5 (27,6)"
13,CE,"24,2 21,3 (11,9)","2.556 2 .923,0","14,4","61,9 62,3 0,6"
14,RN,"0,8 0,7 (12,5)","2.956 2 .520,0","(14,7)","2,4 1,8 (25,0)"
15,PB,"2,1 0,3 (85,7)","82 1 14,0","39,0","0,2 - (100,0)"
16,PE,"2,5 2,5 -","5.677 5 .677,0",-,"14,2 14,2 -"
17,AL,"3,0 3,0 -","5.650 5 .877,0","4,0","17,0 17,6 3,5"
18,SE,"6,9 9,9 43,5","6.500 6 .051,0","(6,9)","44,9 59,9 33,4"
19,BA,"13,8 7,9 (42,8)","1.680 7 52,0","(55,2)","23,2 5,9 (74,6)"
20,MID-WEST,"2 18,6 2 16,5 (1,0)","3 .406 3 .223,0","(5,4)","7 44,5 6 97,7 (6,3)"
21,MT,"143,4 166,3 16,0","3.217 3 .175,0","(1,3)","461,3 528,0 14,5"
22,MS,"17,0 15,2 (10,6)","6.420 6 .200,0","(3,4)","109,1 94,2 (13,7)"
23,GO,"58,2 35,0 (39,9)","2.992 2 .157,0","(27,9)","174,1 75,5 (56,6)"
24,SOUTHEAST,"5 3,7 4 4,6 (16,9)","2 .878 3 .106,0","7,9","1 54,6 1 38,5 (10,4)"
25,MG,"32,2 22,8 (29,2)","1.997 1 .956,0","(2,1)","64,3 44,6 (30,6)"
26,ES,"1,0 1,0 -","2.692 2 .700,0","0,3","2,7 2,7 -"
27,RJ,"1,6 1,4 (15,0)","3.346 3 .100,0","(7,4)","5,4 4,3 (20,4)"
28,SP,"18,9 19,4 2,6","4.350 4 .480,0","3,0","82,2 86,9 5,7"
29,SOUTH,"1 .238,9 1 .249,7 0,9","7 .252 7 .308,0","0,8","8 .984,1 9 .132,9 1,7"
30,PR,"35,8 33,0 (7,8)","4.659 5 .291,0","13,6","166,8 174,6 4,7"
31,SC,"150,1 150,1 -","7.180 6 .828,0","(4,9)","1.077,7 1.024,9 (4,9)"
32,RS,"1.053,0 1.066,6 1,3","7.350 7 .438,0","1,2","7.739,6 7.933,4 2,5"
33,NORTH/NORTHEAST,"9 15,5 8 85,2 (3,3)","1 .875 2 .209,0","17,8","1 .716,3 1 .955,1 13,9"
34,CENTER-SOUTH,"1 .511,2 1 .510,8 -","6 .540 6 .599,0","0,9","9 .883,2 9 .969,1 0,9"
35,BRAZIL,"2 .426,7 2 .396,0 (1,3)","4 .780 4 .977,0","4,1","1 1.599,5 1 1.924,2 2,8"
