,Unnamed: 0,Unnamed: 1,Unnamed: 2,Violent crime,Unnamed: 4,Unnamed: 5,Unnamed: 6,Property crime,Unnamed: 8
0,,,,2014,,,,2014,
1,State,,,,,Aggra-,,,Motor
2,,"2013,",,,Rob-,vated,"2013,",Larceny/,vehicle
3,,total,Total,Murder Rape 1,bery,assault,total,Total Burglary theft,theft
4,United States. . . . . . . . . . . .,379.1,375.7,4.5 36.6,102.2,232.5,"2,733.3","2,596.1 542.5 1,837.3",216.2
5,Alabama. . . . . . . . . . . . . . . . . . . .,431.0,427.4,5.7 41.3,96.9,283.4,"3,347.9","3,177.6 819.0 2,149.5",209.1
6,Alaska. . . . . . . . . . . . . . . . . . . . . . .,638.7,635.8,5.6 104.7,85.4,440.2,"2,877.0","2,760.0 427.6 2,096.4",236.0
7,Arizona. . . . . . . . . . . . . . . . . . . . . .,415.6,399.9,4.7 50.2,92.8,252.1,"3,365.4","3,197.5 647.1 2,289.1",261.3
8,Arkansas. . . . . . . . . . . . . . . . . . . .,463.2,480.1,5.6 59.4,69.1,346.0,"3,598.7","3,338.0 835.7 2,313.5",188.8
9,California. . . . . . . . . . . . . . . . . . . .,402.6,396.1,4.4 29.7,125.5,236.6,"2,651.2","2,441.1 522.3 1,527.4",391.3
10,Colorado. . . . . . . . . . . . . . . . . . . .,305.4,309.1,2.8 56.7,56.7,192.8,"2,655.0","2,530.1 438.2 1,857.1",234.8
11,Connecticut. . . . . . . . . . . . . . . . .,262.2,236.9,2.4 21.7,87.8,125.0,"1,980.2","1,920.4 332.4 1,418.1",169.9
12,Delaware.. . . . . . . . . . . . . . . . . . .,500.7,489.1,5.8 41.3,135.6,306.4,"3,134.4","2,982.0 616.5 2,230.1",135.4
13,District of Columbia 2. . . . . .,"1,296.4","1,244.4",15.9 71.6,530.7,626.1,"4,790.7","5,182.5 526.0 4,082.3",574.1
14,Florida. . . . . . . . . . . . . . . . . . . . . . .,469.3,540.5,5.8 43.0,125.2,366.4,"3,097.8","3,415.5 719.9 2,481.5",214.0
15,Georgia 3. . . . . . . . . . . . . . . . . . . .,375.4,377.3,5.7 30.2,123.0,218.4,"3,399.9","3,281.2 756.9 2,258.4",266.0
16,Hawaii. . . . . . . . . . . . . . . . . . . . . . .,254.4,259.2,1.8 31.3,78.0,148.1,"3,212.7","3,050.0 547.9 2,228.9",273.3
17,Idaho. . . . . . . . . . . . . . . . . . . . . . . .,215.2,212.2,2.0 37.3,12.5,160.5,"1,874.3","1,854.8 393.3 1,359.9",101.6
18,Illinois. . . . . . . . . . . . . . . . . . . . . . .,403.1,370.0,5.3 32.3,118.8,213.7,"2,296.6","2,075.9 388.2 1,552.2",135.5
19,Indiana. . . . . . . . . . . . . . . . . . . . . .,359.6,365.3,5.0 33.1,104.5,222.6,"2,853.1","2,649.4 559.3 1,880.0",210.1
20,Iowa. . . . . . . . . . . . . . . . . . . . . . . . .,273.0,273.5,1.9 36.3,33.6,201.6,"2,198.2","2,093.8 464.4 1,495.8",133.6
21,Kansas. . . . . . . . . . . . . . . . . . . . . .,342.8,348.6,3.1 48.6,46.9,250.0,"2,959.6","2,735.2 545.0 1,952.4",237.8
22,Kentucky. . . . . . . . . . . . . . . . . . . .,210.9,211.6,3.6 32.6,75.6,99.8,"2,374.0","2,246.9 526.7 1,577.1",143.2
23,Louisiana. . . . . . . . . . . . . . . . . . .,521.2,514.7,10.3 29.6,122.5,352.4,"3,578.9","3,458.8 824.5 2,421.6",212.7
24,Maine.. . . . . . . . . . . . . . . . . . . . . . .,132.5,127.8,1.6 36.5,22.9,66.9,"2,292.0","1,986.4 378.2 1,548.2",60.1
25,Maryland. . . . . . . . . . . . . . . . . . . .,475.4,446.1,6.1 27.1,159.7,253.2,"2,659.1","2,507.5 468.7 1,819.6",219.2
26,Massachusetts. . . . . . . . . . . . .,406.4,391.4,2.0 32.3,89.5,267.6,"2,046.2","1,857.1 370.1 1,364.5",122.5
27,Michigan. . . . . . . . . . . . . . . . . . . .,452.2,427.3,5.4 63.3,80.9,277.7,"2,325.0","2,043.9 445.9 1,384.5",213.5
28,Minnesota.. . . . . . . . . . . . . . . . . .,234.4,229.1,1.6 36.7,67.6,123.3,"2,419.6","2,297.5 380.7 1,763.5",153.3
29,Mississippi. . . . . . . . . . . . . . . . . .,277.5,278.5,8.6 35.3,81.2,153.4,"2,725.3","2,921.2 813.3 1,956.9",150.9
30,Missouri. . . . . . . . . . . . . . . . . . . . .,433.7,442.9,6.6 39.2,92.2,304.8,"3,137.4","2,906.5 581.5 2,055.3",269.8
31,Montana.. . . . . . . . . . . . . . . . . . . .,288.1,323.7,3.6 52.9,19.8,247.4,"2,581.1","2,472.9 351.2 1,922.1",199.6
32,Nebraska. . . . . . . . . . . . . . . . . . .,264.8,280.4,2.9 45.8,55.4,176.2,"2,632.3","2,523.5 422.5 1,864.1",236.8
33,Nevada.. . . . . . . . . . . . . . . . . . . . .,605.0,635.6,6.0 47.8,209.7,372.1,"2,836.4","2,625.4 772.3 1,494.3",358.7
34,New Hampshire. . . . . . . . . . . .,223.2,196.1,0.9 44.8,40.5,110.0,"2,213.6","1,962.7 313.7 1,584.4",64.6
35,New Jersey. . . . . . . . . . . . . . . . .,288.9,261.2,3.9 14.3,117.5,125.6,"1,881.1","1,734.1 354.8 1,248.3",131.0
36,New Mexico. . . . . . . . . . . . . . . .,622.5,597.4,4.8 70.7,100.0,421.8,"3,783.5","3,542.3 887.3 2,353.4",301.6
37,New York. . . . . . . . . . . . . . . . . . . .,393.8,381.8,3.1 27.5,121.8,229.4,"1,820.7","1,718.2 257.2 1,381.4",79.7
38,North Carolina. . . . . . . . . . . . . .,341.0,329.5,5.1 24.3,84.6,215.4,"3,103.2","2,873.1 798.2 1,937.8",137.1
39,North Dakota. . . . . . . . . . . . . . .,273.4,265.1,3.0 48.4,23.4,190.3,"2,121.4","2,110.3 366.1 1,539.5",204.7
40,Ohio. . . . . . . . . . . . . . . . . . . . . . . . .,291.4,284.9,4.0 43.5,110.0,127.4,"2,924.4","2,799.1 680.0 1,963.6",155.4
41,Oklahoma.. . . . . . . . . . . . . . . . . .,446.1,406.0,4.5 45.8,78.6,277.0,"3,280.9","2,990.7 760.9 1,956.9",272.9
42,Oregon. . . . . . . . . . . . . . . . . . . . . .,242.8,232.3,2.0 36.7,52.7,140.8,"3,184.3","2,879.0 434.0 2,204.6",240.5
43,Pennsylvania. . . . . . . . . . . . . . .,335.1,314.1,4.8 29.9,105.8,173.5,"2,059.1","1,931.7 357.5 1,472.2",102.0
44,Rhode Island. . . . . . . . . . . . . . .,257.3,219.2,2.4 34.2,50.1,132.5,"2,443.7","2,173.6 457.1 1,542.8",173.7
45,South Carolina. . . . . . . . . . . . .,508.5,497.7,6.4 42.8,82.7,365.8,"3,630.8","3,460.3 759.9 2,433.4",267.0
46,South Dakota. . . . . . . . . . . . . . .,323.2,326.5,2.3 55.1,23.4,245.7,"1,924.8","1,863.9 330.3 1,415.5",118.0
47,Tennessee. . . . . . . . . . . . . . . . . .,585.8,608.4,5.7 38.6,110.9,453.2,"3,196.5","3,060.6 712.2 2,156.0",192.4
48,Texas. . . . . . . . . . . . . . . . . . . . . . . .,410.3,405.9,4.4 42.3,115.7,243.6,"3,253.2","3,019.4 627.8 2,137.3",254.3
49,Utah. . . . . . . . . . . . . . . . . . . . . . . . .,228.9,215.6,2.3 49.4,44.6,119.4,"3,043.1","2,878.5 391.4 2,239.1",248.0
50,Vermont. . . . . . . . . . . . . . . . . . . . .,123.6,99.3,1.6 17.6,11.2,68.9,"2,214.5","1,524.4 324.6 1,160.8",38.9
51,Virginia. . . . . . . . . . . . . . . . . . . . . .,197.8,196.2,4.1 27.7,51.5,112.9,"2,074.4","1,930.3 277.7 1,560.5",92.1
52,Washington. . . . . . . . . . . . . . . . .,290.0,285.2,2.5 38.2,79.9,164.7,"3,715.9","3,706.1 783.0 2,489.1",434.0
53,West Virginia. . . . . . . . . . . . . . .,305.2,302.0,4.0 27.3,35.2,235.5,"2,154.1","2,034.7 484.9 1,447.3",102.5
54,Wisconsin. . . . . . . . . . . . . . . . . . .,280.7,290.3,2.9 29.1,88.0,170.4,"2,188.7","2,088.3 368.5 1,547.6",172.3
55,Wyoming. . . . . . . . . . . . . . . . . . . .,207.8,195.5,2.7 29.8,9.1,153.9,"2,196.2","1,964.7 289.1 1,572.4",103.2
